PRISM Time Series Data
Location:  Lat: 34.3231   Lon: -118.2249   Elev: 4373ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2013-01 - 2024-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Mar-05
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
2013-01,2.76,41.6
2013-02,0.88,44.1
2013-03,1.27,53.3
2013-04,0.13,55.9
2013-05,1.72,60.8
2013-06,0.00,70.0
2013-07,0.01,76.6
2013-08,0.00,74.2
2013-09,0.00,71.0
2013-10,0.73,60.3
2013-11,1.00,51.8
2013-12,0.68,47.4
2014-01,0.08,54.4
2014-02,1.41,49.3
2014-03,7.33,51.5
2014-04,0.93,55.1
2014-05,0.08,62.1
2014-06,0.00,69.5
2014-07,0.00,75.2
2014-08,0.05,73.0
2014-09,0.04,72.6
2014-10,0.00,66.9
2014-11,1.25,54.5
2014-12,6.10,46.1
2015-01,1.43,50.6
2015-02,1.94,54.5
2015-03,0.93,56.0
2015-04,0.58,54.3
2015-05,1.63,53.8
2015-06,0.04,71.7
2015-07,2.17,70.4
2015-08,0.00,76.0
2015-09,2.70,71.4
2015-10,1.09,64.5
2015-11,0.49,49.2
2015-12,1.23,43.9
2016-01,6.18,44.3
2016-02,4.22,53.4
2016-03,3.52,50.6
2016-04,0.96,55.4
2016-05,0.34,55.5
2016-06,0.08,74.2
2016-07,0.00,76.1
2016-08,0.00,75.3
2016-09,0.11,69.7
2016-10,0.73,62.7
2016-11,1.60,55.1
2016-12,6.36,45.1
2017-01,14.07,40.1
2017-02,6.14,43.9
2017-03,0.76,52.6
2017-04,0.27,55.4
2017-05,0.64,59.3
2017-06,0.00,72.4
2017-07,0.00,77.2
2017-08,0.03,74.9
2017-09,0.81,66.9
2017-10,0.02,65.3
2017-11,0.14,55.7
2017-12,0.00,52.2
2018-01,4.95,51.1
2018-02,0.55,46.6
2018-03,7.53,45.0
2018-04,0.00,55.8
2018-05,0.54,56.3
2018-06,0.00,69.4
2018-07,0.00,77.6
2018-08,0.00,74.6
2018-09,0.00,72.7
2018-10,0.64,60.5
2018-11,3.52,54.4
2018-12,3.55,46.6
2019-01,8.56,45.2
2019-02,15.32,35.9
2019-03,5.07,44.4
2019-04,0.15,54.9
2019-05,2.21,51.4
2019-06,0.05,66.9
2019-07,0.00,73.8
2019-08,0.00,75.4
2019-09,0.14,69.3
2019-10,0.00,62.5
2019-11,2.79,55.4
2019-12,6.28,43.9
2020-01,0.23,46.1
2020-02,0.18,48.6
2020-03,6.95,41.9
2020-04,7.51,52.8
2020-05,0.48,62.3
2020-06,0.13,66.3
2020-07,0.00,72.9
2020-08,0.00,77.4
2020-09,0.00,76.6
2020-10,0.00,68.1
2020-11,0.27,53.9
2020-12,1.88,49.7
2021-01,3.14,47.3
2021-02,0.06,48.9
2021-03,1.94,45.4
2021-04,0.02,54.8
2021-05,0.13,59.6
2021-06,0.02,72.1
2021-07,0.04,76.5
2021-08,0.02,74.5
2021-09,0.03,71.0
2021-10,2.00,60.6
2021-11,0.00,59.4
2021-12,16.22,45.6
2022-01,0.34,49.0
2022-02,0.20,48.0
2022-03,2.11,51.5
2022-04,0.61,54.1
2022-05,0.03,58.7
2022-06,0.16,69.5
2022-07,0.00,74.9
2022-08,0.00,77.3
2022-09,0.47,72.7
2022-10,0.44,64.8
2022-11,5.67,48.4
2022-12,5.22,44.7
2023-01,16.60,41.7
2023-02,13.11,40.5
2023-03,13.78,40.0
2023-04,0.24,54.0
2023-05,1.70,55.3
2023-06,0.32,57.9
2023-07,0.00,77.7
2023-08,4.61,72.8
2023-09,0.42,66.0
2023-10,0.36,63.0
2023-11,1.00,53.1
2023-12,3.76,49.8
2024-01,2.16,45.4
2024-02,15.05,43.5
2024-03,7.13,44.6
2024-04,2.47,50.6
2024-05,0.43,57.9
2024-06,0.00,69.1
2024-07,0.02,80.1
2024-08,0.00,74.8
2024-09,0.00,72.5
2024-10,0.05,69.3
2024-11,0.23,50.6
2024-12,0.00,54.8
