PRISM Time Series Data
Location:  Lat: 33.7437   Lon: -115.9938   Elev: 2890ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2013-01 - 2024-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Mar-05
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
2013-01,0.78,44.4
2013-02,0.30,47.5
2013-03,0.12,59.2
2013-04,0.00,64.4
2013-05,0.06,70.8
2013-06,0.00,80.8
2013-07,0.43,85.5
2013-08,0.82,82.5
2013-09,0.40,76.6
2013-10,0.03,62.0
2013-11,0.21,55.6
2013-12,0.13,48.7
2014-01,0.00,54.4
2014-02,0.15,56.1
2014-03,1.08,58.5
2014-04,0.11,63.7
2014-05,0.19,70.8
2014-06,0.00,78.6
2014-07,0.14,85.1
2014-08,0.49,81.2
2014-09,0.61,78.9
2014-10,0.00,69.4
2014-11,0.00,57.8
2014-12,0.54,49.9
2015-01,0.89,50.7
2015-02,0.65,57.4
2015-03,1.17,60.6
2015-04,0.00,61.8
2015-05,0.08,65.4
2015-06,0.00,80.8
2015-07,0.69,80.5
2015-08,0.07,85.2
2015-09,0.09,79.0
2015-10,0.56,69.9
2015-11,0.02,52.7
2015-12,0.05,46.8
2016-01,2.01,47.6
2016-02,0.46,55.2
2016-03,0.07,58.6
2016-04,1.23,62.7
2016-05,0.00,66.2
2016-06,0.00,82.0
2016-07,0.00,86.1
2016-08,0.14,83.8
2016-09,0.53,74.6
2016-10,0.28,68.9
2016-11,0.07,58.5
2016-12,1.57,48.9
2017-01,4.13,46.9
2017-02,2.06,53.3
2017-03,0.00,59.2
2017-04,0.00,63.1
2017-05,0.06,68.1
2017-06,0.00,80.2
2017-07,0.02,86.2
2017-08,0.31,83.8
2017-09,0.83,74.9
2017-10,0.00,68.2
2017-11,0.00,61.1
2017-12,0.00,53.5
2018-01,1.38,53.5
2018-02,0.00,50.5
2018-03,0.50,54.0
2018-04,0.00,65.5
2018-05,0.12,68.9
2018-06,0.00,78.8
2018-07,0.54,86.3
2018-08,0.02,85.3
2018-09,0.00,79.8
2018-10,1.34,65.0
2018-11,0.07,56.1
2018-12,0.70,49.1
2019-01,1.36,47.9
2019-02,5.35,43.3
2019-03,0.38,52.4
2019-04,0.00,63.9
2019-05,0.35,62.4
2019-06,0.00,76.9
2019-07,0.33,83.3
2019-08,0.00,84.3
2019-09,0.36,76.5
2019-10,0.00,63.6
2019-11,1.17,57.3
2019-12,1.58,47.6
2020-01,0.02,50.3
2020-02,0.02,51.7
2020-03,2.47,51.0
2020-04,1.75,60.8
2020-05,0.00,72.0
2020-06,0.00,76.8
2020-07,0.00,83.5
2020-08,0.04,87.9
2020-09,0.00,83.1
2020-10,0.00,73.7
2020-11,0.11,57.7
2020-12,0.20,50.6
2021-01,0.57,49.8
2021-02,0.02,53.3
2021-03,0.02,52.1
2021-04,0.02,65.0
2021-05,0.00,70.8
2021-06,0.00,84.0
2021-07,0.85,87.5
2021-08,0.26,84.6
2021-09,0.42,80.1
2021-10,0.10,64.4
2021-11,0.00,63.7
2021-12,1.13,50.5
2022-01,0.00,51.3
2022-02,0.09,50.9
2022-03,0.05,57.9
2022-04,0.02,64.8
2022-05,0.00,70.8
2022-06,0.00,80.9
2022-07,0.00,85.9
2022-08,1.63,85.6
2022-09,0.79,80.5
2022-10,0.65,70.2
2022-11,0.52,52.6
2022-12,0.16,49.1
2023-01,1.00,47.6
2023-02,0.32,46.4
2023-03,1.08,50.1
2023-04,0.00,63.5
2023-05,0.15,68.4
2023-06,0.00,72.9
2023-07,0.00,88.3
2023-08,3.13,84.5
2023-09,0.66,77.3
2023-10,0.00,69.4
2023-11,0.36,58.0
2023-12,0.39,52.6
2024-01,0.90,50.0
2024-02,1.02,51.4
2024-03,0.48,53.4
2024-04,0.05,60.4
2024-05,0.00,69.3
2024-06,0.00,81.7
2024-07,0.41,89.5
2024-08,0.00,85.6
2024-09,0.10,81.1
2024-10,0.00,77.0
2024-11,0.00,54.9
2024-12,0.00,55.8
