PRISM Time Series Data
Location:  Lat: 33.0360   Lon: -116.7329   Elev: 2579ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2013-01 - 2024-12
Dataset: AN91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Mar-05
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
2013-01,1.86,49.7
2013-02,1.15,48.1
2013-03,1.59,57.2
2013-04,0.13,57.9
2013-05,0.74,62.3
2013-06,0.00,69.6
2013-07,0.19,75.6
2013-08,0.31,74.6
2013-09,0.41,72.5
2013-10,1.60,61.6
2013-11,0.63,57.7
2013-12,1.16,53.1
2014-01,0.18,59.9
2014-02,0.97,55.1
2014-03,3.27,56.4
2014-04,1.24,58.3
2014-05,0.00,64.3
2014-06,0.00,68.8
2014-07,0.06,74.7
2014-08,0.86,73.6
2014-09,0.16,74.4
2014-10,0.00,68.1
2014-11,0.93,59.3
2014-12,4.30,51.9
2015-01,0.90,54.3
2015-02,0.99,57.8
2015-03,2.05,59.2
2015-04,0.72,57.8
2015-05,2.64,57.3
2015-06,0.00,71.3
2015-07,2.35,70.5
2015-08,0.02,76.4
2015-09,2.04,73.7
2015-10,0.91,67.4
2015-11,1.52,55.1
2015-12,3.60,49.3
2016-01,5.04,49.9
2016-02,1.48,58.6
2016-03,1.72,55.2
2016-04,1.56,57.5
2016-05,0.89,57.9
2016-06,0.00,72.4
2016-07,0.00,75.8
2016-08,0.00,75.7
2016-09,0.97,69.6
2016-10,0.31,66.4
2016-11,2.12,60.7
2016-12,5.59,51.5
2017-01,9.72,48.0
2017-02,6.85,51.9
2017-03,0.60,58.0
2017-04,0.02,58.9
2017-05,1.90,60.7
2017-06,0.00,71.0
2017-07,0.07,76.7
2017-08,0.22,75.9
2017-09,0.16,70.0
2017-10,0.02,68.6
2017-11,0.03,61.4
2017-12,0.05,57.5
2018-01,3.78,57.4
2018-02,1.16,52.4
2018-03,2.75,52.4
2018-04,0.03,59.3
2018-05,0.23,59.5
2018-06,0.00,68.8
2018-07,0.24,78.1
2018-08,0.00,76.7
2018-09,0.00,74.0
2018-10,0.49,64.5
2018-11,2.98,59.3
2018-12,2.59,52.3
2019-01,3.77,51.1
2019-02,11.78,45.1
2019-03,2.40,51.1
2019-04,0.50,58.6
2019-05,3.62,55.0
2019-06,0.00,66.8
2019-07,0.04,73.6
2019-08,0.00,75.8
2019-09,0.40,71.6
2019-10,0.00,64.2
2019-11,6.19,59.3
2019-12,4.71,50.1
2020-01,0.45,51.7
2020-02,1.03,53.3
2020-03,6.76,49.5
2020-04,4.57,56.3
2020-05,0.35,64.4
2020-06,0.20,66.8
2020-07,0.00,72.7
2020-08,0.00,81.2
2020-09,0.00,79.9
2020-10,0.15,72.3
2020-11,1.83,59.6
2020-12,1.51,54.9
2021-01,3.21,53.2
2021-02,0.32,52.9
2021-03,3.85,49.6
2021-04,0.39,57.3
2021-05,0.05,60.4
2021-06,0.00,72.7
2021-07,0.35,78.2
2021-08,0.47,77.5
2021-09,0.19,73.9
2021-10,1.14,61.5
2021-11,0.00,64.7
2021-12,6.38,51.5
2022-01,0.22,54.8
2022-02,1.93,52.6
2022-03,2.51,56.3
2022-04,0.44,58.2
2022-05,0.00,60.5
2022-06,0.00,72.6
2022-07,0.00,75.8
2022-08,0.21,79.1
2022-09,1.04,76.8
2022-10,0.93,66.2
2022-11,3.05,51.1
2022-12,2.75,51.0
2023-01,11.25,47.6
2023-02,4.09,46.7
2023-03,10.54,47.0
2023-04,0.11,56.8
2023-05,0.59,58.3
2023-06,0.25,60.4
2023-07,0.00,80.6
2023-08,2.02,77.0
2023-09,0.06,68.6
2023-10,0.25,67.4
2023-11,1.19,59.8
2023-12,1.21,56.0
2024-01,3.95,50.9
2024-02,7.27,49.8
2024-03,4.89,49.5
2024-04,1.66,54.4
2024-05,0.22,58.0
2024-06,0.00,69.4
2024-07,0.00,81.9
2024-08,0.27,78.9
2024-09,0.05,74.6
2024-10,0.04,73.5
2024-11,0.50,56.4
2024-12,0.03,58.8
