Name	County	Location	AcresBurned	Year	Month	Extinguished	Started
Soda Fire	Kern, San Luis Obispo	Soda Lake Road and Pipeline Road, San Luis Obispo	419	2024	12		12/21/24
Soto Fire	Riverside	Soto Street and Sedona Drive, Jurupa Valley	25	2024	12	12/18/24	12/17/24
Addie Fire	Kern	Near Highway 33 	30	2024	12	12/15/24	12/14/24
Rogers Fire 	San Bernardino	Roy Rogers Road, Oro Grande	10	2024	12		12/10/24
Franklin Fire	Los Angeles	Malibu Canyon Road, Malibu Creek State Park	4037	2024	12	12/18/24	12/9/24
7.0 Earthquake	Alameda, Humboldt	Alameda &amp; Humboldt County	NA	2024	12	12/5/24	12/5/24
Derrick Fire	Fresno	I-5 and South Derrick Avenue, Cantua Creek	74	2024	12		12/2/24
Canyon Crest Fire	Riverside, San Bernardino	North of Highway 60, near Canyon Crest Drive in Riverside County	254	2024	11		11/28/24
Border 77 Fire	San Diego	Otay Mountain Truck Trail and Kuebler Ranch Roach, Otay	98	2024	11	11/24/24	11/23/24
Canal Fire	Madera	Road 400 near Road 33, Madera	34	2024	11		11/22/24
Duck Fire	San Joaquin	2700 Blk North Waverly Road, Farmington	73	2024	11		11/21/24
Michigan Fire	Amador	Hwy 104 west of Michigan Bar Rd, Northwest of Ione	24	2024	11		11/21/24
Broadway Fire	Monterey	Broadway St. and San Antonio Dr., King City	57	2024	11	11/23/24	11/21/24
Brauns Fire	Calaveras	Highway 12 and Briski Rd San Andreas	50	2024	11		11/20/24
Millar Fire	San Diego	Campo Rd &amp; Millar Ranch Rd, Spring Valley	11	2024	11		11/20/24
Hidden Valley Fire	Riverside	Unknown / TBD	46	2024	11		11/20/24
Sandy Fire	Monterey	Big Sandy Road and Indian Valley Road, northeast of Valleton	23	2024	11	11/18/24	11/17/24
Kamm Fire	Fresno	West Kamm Avenue and Interstate 5, northwest of Three Rocks	10	2024	11	11/16/24	11/16/24
John Fire	Merced	Near Interstate 5, John Erreca Rest Stop	13	2024	11	11/15/24	11/14/24
Eternal Fire	Lassen	Near Eternal Springs Way &amp; Standish Pit Rd, Standish	20	2024	11		11/13/24
Bull Fire	Kings	West of 25th Avenue and Parejo Hill, Avenal	11	2024	11		11/12/24
Waucoba Fire	Inyo	Badger Flat, west of Waucoba Mountain	8	2024	11	11/12/24	11/11/24
Garden Fire	San Diego	East of Gird Road &amp; Pala Mesa Drive, Fallbrook	48	2024	11		11/8/24
Resort 2 Fire	San Diego	Highway 79, nothwest of Warner Springs Resort	25	2024	11		11/8/24
Frenchman Fire	Los Angeles	West of Frenchman's Flat Day Use Area, South of Pyramid Dam	94	2024	11	11/10/24	11/7/24
Santa Lucia Fire	Santa Barbara	Santa Lucia Canyon Road, Vandenberg SFB	125	2024	11	11/12/24	11/7/24
Mountain Fire	Ventura	Balcom Canyon Road and Bradley Road, Somis	19904	2024	11		11/6/24
Broad Fire	Los Angeles	Southwest of South Malibu Canyon Road &amp; Pacific Coast Highway, Malibu	50	2024	11		11/6/24
Valley Fire	Shasta	Near Lassen Avenue and Monte Vista Road, West of Anderson	11	2024	11	11/8/24	11/6/24
Lemon Fire	Tulare	Avenue 334 and Road 248, Lemon Cove	40	2024	11		11/6/24
Lake Fire	Trinity	200 block of Lower West Side Road, Mad River	44	2024	11	11/11/24	11/5/24
Wolf Fire	Riverside	Old Idyllwild Road	25	2024	11	11/8/24	11/4/24
Gaylord Fire	Tehama	Gaylord Avenue and Hoag Road	47	2024	11	11/3/24	11/3/24
Montezuma Fire	San Diego	Montezuma Road, East of Fairmount Avenue, San Diego	37	2024	10	11/3/24	10/31/24
Quarry Fire	San Diego	SR-54 &amp; SR-125, East of Spring Valley	10	2024	10	10/31/24	10/31/24
Horseshoe Fire	Inyo	Horseshoe Meadows Road, near Lone Pine	4537	2024	10		10/30/24
Hog Fire	Tehama	Hogsback Road East of Tuscan Springs Road	40	2024	10		10/30/24
Campbell Fire	Tulare	35000 block of Yokohl Valley Drive, Northwest of Springville	524	2024	10	10/30/24	10/28/24
Lost Fire	Fresno	East of Sutter Avenue and Highway 33, Coalinga	15	2024	10		10/26/24
Alray Fire	San Bernardino	Forest Route 3N21, Phelan	16	2024	10	10/27/24	10/26/24
Coalinga Fire	Fresno	Unknown / TBD	5	2024	10		10/24/24
Golden Fire	Riverside	44000 block Highway 79, Aguanga	40	2024	10		10/24/24
Riverview Fire	Santa Barbara	W Highway 246 and  Riverview Drive 	64	2024	10		10/24/24
Iowa Fire	Yuba	Iowa City Road and Oak Creek Road 	38	2024	10		10/21/24
Lost Fire	Fresno	HWY 33/ Lost Hills Road	13	2024	10		10/19/24
Gilardi Fire	San Luis Obispo	3200 Block of Gilardi Road, San Luis Obispo 	50	2024	10		10/19/24
162 Fire	Glenn	Country Road Z at the cross of Highway 62, East of Butte	60	2024	10	10/19/24	10/19/24
Dove Fire	Kern	Dove Spronga Canyon Road, Kelso Valley	1000	2024	10		10/19/24
Pedley Fire	Riverside	Pedley Road and Ben Nevis Boulevard, Jurupa Valley	15	2024	10		10/19/24
Hay Fire	Solano	Hay Road and Burke Lane, Dixon	869	2024	10	10/22/24	10/18/24
Keller Fire	Alameda	End of Sanford Street in the area of Maynard, Oakland	15	2024	10	10/20/24	10/18/24
Mission Fire	Riverside	Mission Boulevard and Crestmore Road, Jurupa Valley	17	2024	10	10/19/24	10/18/24
Snake Fire	San Luis Obispo	Unknown / TBD	8	2024	10	10/17/24	10/17/24
Maria Fire	San Luis Obispo	Highway 101 and Santa Maria River, Nipomo	80	2024	10	10/17/24	10/17/24
Canyon Fire	San Luis Obispo	Hay Canyon Road and San Juan Creek Road	16	2024	10		10/15/24
Marvin Fire	Riverside	Pulsar View Road and Mt Rudolf Road  	12	2024	10		10/13/24
Jack Fire	Riverside	Jack Rabbit Trail and Highway 60, Beaumont	260	2024	10	10/15/24	10/13/24
Miles Fire	Riverside	12400 block of Beardsley Rd. in Alberhill	23	2024	10		10/11/24
Bahrman Fire	Riverside	Unknown / TBD	110	2024	10	10/10/24	10/9/24
Shoe Fire	Shasta	Fenders Ferry Road near Madrone Campground, Southwest of Big Bend	5124	2024	10	11/9/24	10/9/24
Cemetery Fire	Modoc	100 block County Road 89, Adin	56	2024	10		10/8/24
Piney Fire 	Monterey	Hastings Reservation Road and Martin Road, Jamesburg	225	2024	10		10/8/24
Posta 3 Fire	San Diego	Old Highway 80 and La Posta Road, Campo	413	2024	10	10/8/24	10/7/24
Tuledad Fire	Lassen	Marr Road and Tuledad Road, northeast of Susanville	420	2024	10	10/8/24	10/6/24
Hambone Fire	Siskiyou	Forest Road 24 and Forest Road 40N57 in the Pondosa and Hambone area	15	2024	10		10/6/24
Verjeles Fire	Yuba	Los Verjeles Road and Loma Rica Road	12	2024	10	10/7/24	10/6/24
Wood Fire	Humboldt	Wood Ranch Road and Redwood Drive, southwest of Phillipsville	26	2024	10	10/9/24	10/6/24
